"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TVE","Tennessee Valley Authority","25.14","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/tve",
"TZAC","Tenzing Acquisition Corp.","10.55","$80.91M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tzac",
"TZACU","Tenzing Acquisition Corp.","10.4","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tzacu",
"TZACW","Tenzing Acquisition Corp.","0.09","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tzacw",
"TDC","Teradata Corporation","22.66","$2.51B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/tdc",
"TER","Teradyne, Inc.","63.83","$10.64B","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/ter",
"TEX","Terex Corporation","14.39","$998.92M","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/tex",
"TX","Ternium S.A.","12.77","$2.51B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/tx",
"TERP","TerraForm Power, Inc.","17.51","$3.97B","2014","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/terp",
"TRNO","Terreno Realty Corporation","54.82","$3.71B","2010","Finance","Real Estate","https://old.nasdaq.com/symbol/trno",
"TBNK","Territorial Bancorp Inc.","25.4","$246.03M","2009","Finance","Savings Institutions","https://old.nasdaq.com/symbol/tbnk",
"TSLA","Tesla, Inc. ","753.89","$139.01B","2010","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/tsla",
"TESS","TESSCO Technologies Incorporated","5.63","$48.12M","1994","Technology","Electronic Components","https://old.nasdaq.com/symbol/tess",
"TTEK","Tetra Tech, Inc.","80.1","$4.38B","1991","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/ttek",
"TTI","Tetra Technologies, Inc.","0.25","$31.43M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tti",
"TTPH","Tetraphase Pharmaceuticals, Inc.","1.27","$9.22M","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ttph",
"TEVA","Teva Pharmaceutical Industries Limited","10.27","$11.22B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/teva",
"TCBI","Texas Capital Bancshares, Inc.","24.07","$1.21B","2003","Finance","Major Banks","https://old.nasdaq.com/symbol/tcbi",
"TCBIL","Texas Capital Bancshares, Inc.","22.7687","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tcbil",
"TCBIP","Texas Capital Bancshares, Inc.","22.567","$135.4M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tcbip",
"TXN","Texas Instruments Incorporated","113.55","$106.02B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/txn",
"TPL","Texas Pacific Land Trust","512.62","$3.98B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tpl",
"TXRH","Texas Roadhouse, Inc.","46.49","$3.22B","2004","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/txrh",
"TGH","Textainer Group Holdings Limited","7.34","$417.04M","2007","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/tgh",
"TXT","Textron Inc.","27.75","$6.32B","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/txt",
"TFFP","TFF Pharmaceuticals, Inc.","4.51","$84.21M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tffp",
"TFII","TFI International Inc.","24.5","$2.16B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tfii",
"TFSL","TFS Financial Corporation","13.91","$3.9B","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/tfsl",
"TGTX","TG Therapeutics, Inc.","11.72","$1.28B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tgtx",
"AES","The AES Corporation","13.12","$8.72B","n/a","Basic Industries","Electric Utilities: Central","https://old.nasdaq.com/symbol/aes",
"WTER","The Alkaline Water Company Inc.","0.8829","$22.83M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/wter",
"ANDE","The Andersons, Inc.","15.74","$527.8M","n/a","Consumer Services","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/ande",
"TBBK","The Bancorp, Inc.","6.27","$359.9M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tbbk",
"BK","The Bank Of New York Mellon Corporation ","37.39","$33.09B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bk",
"BK^C","The Bank Of New York Mellon Corporation ","25.19","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bk^c",
"BPRN","The Bank of Princeton","20.2","$136.72M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bprn",
"BX","The Blackstone Group Inc.","50.01","$59.85B","2007","Finance","Investment Managers","https://old.nasdaq.com/symbol/bx",
"CG","The Carlyle Group Inc.","22.95","$8.02B","2012","Finance","Investment Managers","https://old.nasdaq.com/symbol/cg",
"CEE","The Central and Eastern Europe Fund, Inc.","18.29","$122.75M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cee",
"SCHW","The Charles Schwab Corporation","35.79","$46.07B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/schw",
"SCHW^C","The Charles Schwab Corporation","25.55","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/schw^c",
"SCHW^D","The Charles Schwab Corporation","26.32","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/schw^d",
"CAKE","The Cheesecake Factory Incorporated","18.72","$841.68M","1992","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/cake",
"CHEF","The Chefs&#39; Warehouse, Inc.","12.33","$375.63M","2011","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/chef",
"TCFC","The Community Financial Corporation","18.78","$110.99M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tcfc",
"COO","The Cooper Companies, Inc. ","306.28","$16.33B","n/a","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/coo",
"DSGX","The Descartes Systems Group Inc.","39.78","$3.35B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/dsgx",
"DXYN","The Dixie Group, Inc.","0.7209","$11.4M","n/a","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/dxyn",
"ENSG","The Ensign Group, Inc.","37.25","$1.99B","2007","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/ensg",
"XONE","The ExOne Company","6.24","$102.68M","2013","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/xone",
