ticker	market cap	industry	sector	current price	gross margin	net income margin	expenses portion	ROE	ROA	receivables turnover days	inventories turnover days	total assets turnover days	liability/asset ratio	current ratio	acid-test ratio	revenue growth	net income growth	operating income growth	free cash flow growth	wacc	roic	excess return	economic profit	stockholders equity growth	dividend yield	dividend payout ratio	dcf	beta	annual return	annual risk
NVFY	6255036.0	Manufacturing - Apparel & Furniture	Consumer Cyclical	1.13	0.1766248563806	0.037989521742972154	0.13717415420965617	0.061990895151501205	0.0444064193146572	176.98342925322717	20.773541919411375	291.4701093661008	0.23596064011018197	9.514390278442912	8.78962094157799	0.039081941747611704	0.6561468769840082	1.587020538841177	-3.840427157429064	0.10598113035260301	0.05536420416305706	-0.05061692618954594	-3769117.13023915	0.14528208591244676	0.0	0.0	0.38673701944617145	1.1834257684265777	0.1703201311442561	1.6011140875729932
WHG	1.72470208E8	Asset Management	Financial Services	20.6	1.0	0.1659093951146829	0.6246941106248178	0.13820856494748185	0.1105564107082159	60.280404122350525	0.0	558.7309382352781	0.19214538779343499	4.365218574598586	4.365218574598586	-0.04301151127719873	-0.1455745752629122	-0.20079221490314195	0.13134735842859402	0.1405256086645201	0.13376981207386632	-0.0067557965906537955	-1199477.9930435303	0.06588318693848601	0.06363628409474223	1.5804759754520266	28.53130094799807	1.432942900078127	-0.14869896163753968	0.3249896293095509
MARK	5.9738324E7	Online Media	Technology	1.04	0.8260326385543999	-2.8871696520270262	3.5297602991136925	1.8086368766801566	-0.5814044993497538	13.374896357029348	0.0	1093.4157525421701	1.1034677747751165	0.4552735312066349	0.4552735312066349	2.0237882922730117	-0.7839792096803061	-0.6300862981971334	-0.5404396315369526	0.17594105258567833	-0.4664430018619929	-0.6423840544476712	-43934083.89868333	-5.473461920406676	0.0	0.0	-2727.8543722942645	1.8960790356118564	0.10534279316792261	0.9812311943951945
SCHW	4.7002239E10	Brokers & Exchanges	Financial Services	36.51	1.0	0.28883612177522583	0.32200045215493384	0.13801606030971073	0.01008719970553967	19.447710901048413	0.0	9611.053813475603	0.9267426274605729	588.6292671332106	588.6292671332106	0.12230236168391526	0.23859636072626947	0.18458073735571728	2.5473652883266586	0.11564167331064112	0.10034345424190452	-0.015298219068736596	-403523127.96282554	0.13133294960634653	0.011640679624405098	0.2573602285777601	62.07879141497077	1.2411290142910594	0.07391702574685749	0.31436028805295113
WEI	9.5110768E7	Software—Application	Technology	1.3501	0.41546666666666665	0.17512647342838492	0.205951697524174	0.5733871459671361	0.10307509493296248	2.1903709252545407	0.0	401.7240305933562	0.7040055121465801	1.3697348361450237	1.3697348361450237	0.3255241734056349	0.30859729325699886	0.2240663349481972	0.39460228191043284	0.016172207227671095	0.18128570358205962	0.16511349635438852	57194529.02043614	1.0281651819786453	15.348694886919203	0.022624666277567113	-10573.967995833505	1.8169631076153527	-1.0659225209099754	0.4847722122756155
SCI	6.8603254E9	Personal Services	Consumer Cyclical	38.51	0.23105042429080003	0.11357860496407284	0.04462779611377356	0.2444587417551843	0.02788058634927042	0.0	4.041243035968753	1423.0804122575948	0.8871838876173577	0.6200841561571181	0.5754103352364537	0.015397552617214006	0.36902075060462997	0.022583432634517432	0.22165931434015165	0.06394682388406177	0.0719521364469317	0.008005312562869935	42945181.49230995	0.07063477479937522	0.01610806015762293	0.3523823115994154	52.96964562196228	0.7419131427034564	0.07742007640201416	0.2035817957134424
VMI	2.3878615E9	Industrial Products	Industrials	110.94	0.2469359047204	0.043227992303760024	0.1661828433992812	0.11182371259014427	0.04535029422201572	4.83821477958801	67.26925104258831	336.48505402880136	0.5948114410277381	3.312624194530327	2.3843802388619464	-0.0203994547180683	0.5297357632917864	0.0491468371451518	0.4011578268627165	0.09716903163579987	0.06445672064143107	-0.03271231099436882	-58117302.87110321	-0.005584696011447776	0.011375167856805896	0.3877929251266659	121.42925398712349	1.1254425443298182	0.007785270671979827	0.2668434957711338
REX	3.80934656E8	Chemicals	Basic Materials	60.53	0.0925060294983	0.06275823944496062	0.046795950007994094	0.07982135127016554	0.062381645936241716	9.883378093420559	17.986303097159166	364.8981336613557	0.21362922244736296	10.556685231507881	9.597575096666551	-0.053190215605560434	-0.2703626443638548	-0.5235240571112568	0.01890419492757254	0.13090441966902713	0.07726779129104092	-0.053636628377986204	-20935344.797982365	0.030851558510695008	0.0	0.0	28.52078282811387	1.3469343657079438	0.048232159446376224	0.37376732672529545
QUIK	3.770568E7	Semiconductors	Technology	4.5	0.45143907002380007	-1.2740547942843161	1.705338827464232	-1.068201083214475	-0.584290460118882	43.09561262750888	180.79404648098637	834.8304563117729	0.44823506303967875	2.3952126506944063	2.1017020066546914	-0.15942085371218917	-0.05427643995792573	-0.05766725794210503	-0.025588757378271175	0.1707257030887786	-0.9304828988542339	-1.1012086019430125	-19002712.167927682	-0.1273572358048432	0.0	0.0	-4.936003985649951	2.030601545590242	-0.03218153015280227	0.7488168187105396
RICK	1.10818264E8	Restaurants	Consumer Cyclical	11.97	0.8597663974288	0.08432170351942088	0.8161902987195582	0.09355036587863005	0.04294368484591825	7.180250481705912	37.3621280555068	674.3795202906792	0.5414119111016512	0.9259893981640757	0.8514481217694406	0.08433564014264798	0.3232074363051893	0.059067081482244335	-0.40628105332200654	0.08587211067405706	0.05165667161790216	-0.034215439056154914	-8242814.361255599	0.106183041845979	0.004103267557166663	0.06312078972360305	2.209257544447638	1.3799030809733883	0.0952540056043083	0.44404268213995013
